name,record,wins,losses,draws,height,weight,reach,stance,dob,strikes_landed_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighter_url,height_inches,weight_lbs,reach_inches,dob_parsed,total_fights,win_percentage
Felipe Bunes,14-8-0,14.0,8.0,0.0,"5' 7""",125 lbs.,"69""",Orthodox,"Oct 29, 1989",2.93,0.0,4.66,0.44,0.0,0.22,0.4,0.0,http://ufcstats.com/fighter-details/53c10176e3bc7416,67.0,125.0,69.0,1989-10-29,22.0,0.6363636363636364
Louie Sutherland,10-4-0,10.0,4.0,0.0,"6' 3""",264 lbs.,"76""",Orthodox,"Feb 08, 1994",2.14,0.0,3.57,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/cdb7b38b1b357f26,75.0,264.0,76.0,1994-02-08,14.0,0.7142857142857143
Mario Bautista,16-3-0,16.0,3.0,0.0,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",5.58,0.0,4.19,0.55,0.0,0.32,0.54,0.0,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,69.0,135.0,69.0,1993-07-01,19.0,0.8421052631578947
Gillian Robertson,16-8-0,16.0,8.0,0.0,"5' 5""",115 lbs.,"63""",Orthodox,"May 17, 1995",2.86,0.0,2.86,0.56,0.0,0.4,0.41,0.0,http://ufcstats.com/fighter-details/38c7f72747f4f712,65.0,115.0,63.0,1995-05-17,24.0,0.6666666666666666
Youssef Zalal,18-5-1,18.0,5.0,1.0,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.03,0.0,1.78,0.66,0.0,0.31,0.59,0.0,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,70.0,145.0,72.0,1996-09-04,24.0,0.75
Kevin Vallejos,16-1-0,16.0,1.0,0.0,"5' 7""",145 lbs.,"68""",Switch,"Dec 08, 2001",6.28,0.0,5.23,0.57,0.0,0.33,0.83,0.0,http://ufcstats.com/fighter-details/239d8e5359022f3b,67.0,145.0,68.0,2001-12-08,17.0,0.9411764705882353
Loopy Godinez,14-5-0,14.0,5.0,0.0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",4.51,0.0,4.03,0.62,0.0,0.41,0.81,0.0,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,62.0,115.0,61.0,1993-09-06,19.0,0.7368421052631579
Zach Reese,10-2-0 (1 NC),10.0,2.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/23dec7c47cb418f8,0.0,0.0,0.0,,12.0,0.8333333333333334
Jared Gooden,23-10-0,23.0,10.0,0.0,"6' 0""",170 lbs.,"77""",Orthodox,"Dec 05, 1993",4.4,0.0,6.74,0.45,0.0,0.45,0.65,0.0,http://ufcstats.com/fighter-details/c730a0be691dc081,72.0,170.0,77.0,1993-12-05,33.0,0.696969696969697
Cameron Saaiman,9-3-0,9.0,3.0,0.0,"5' 8""",135 lbs.,"67""",Southpaw,"Dec 20, 2000",5.3,0.0,4.14,0.51,0.0,0.28,0.47,0.0,http://ufcstats.com/fighter-details/3c8a5200436e19f3,68.0,135.0,67.0,2000-12-20,12.0,0.75
Khaos Williams,15-5-0,15.0,5.0,0.0,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994",4.94,0.0,5.39,0.4,0.0,0.0,0.51,0.0,http://ufcstats.com/fighter-details/2558ae2e5671e318,72.0,170.0,77.0,1994-03-30,20.0,0.75
Matt Frevola,11-6-1,11.0,6.0,1.0,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.3,0.0,3.76,0.56,0.0,0.41,0.4,0.0,http://ufcstats.com/fighter-details/dccb63727f2f5f74,69.0,155.0,71.0,1990-06-11,18.0,0.6111111111111112
Cody Haddon,8-1-0,8.0,1.0,0.0,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 08, 1998",9.2,0.0,3.47,0.64,0.0,0.37,0.83,0.0,http://ufcstats.com/fighter-details/8e6654e9f0461b8f,67.0,135.0,69.0,1998-09-08,9.0,0.8888888888888888
Justin Tafa,7-5-0 (1 NC),7.0,5.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e13abac8089a801a,0.0,0.0,0.0,,12.0,0.5833333333333334
Jai Herbert,13-6-1,13.0,6.0,1.0,"6' 1""",155 lbs.,"77""",Orthodox,"May 13, 1988",3.07,0.0,3.26,0.53,0.0,0.21,0.66,0.0,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,73.0,155.0,77.0,1988-05-13,20.0,0.65
Nikita Krylov,30-11-0,30.0,11.0,0.0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",4.31,0.0,2.58,0.44,0.0,0.38,0.53,0.0,http://ufcstats.com/fighter-details/1091d4d957141094,75.0,205.0,77.0,1992-03-07,41.0,0.7317073170731707
Valentina Shevchenko,26-4-1,26.0,4.0,1.0,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",3.04,0.0,2.0,0.63,0.0,0.61,0.76,0.0,http://ufcstats.com/fighter-details/132deb59abae64b1,65.0,125.0,66.0,1988-03-07,31.0,0.8387096774193549
Nursulton Ruziboev,36-9-2 (2 NC),36.0,9.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/49d2a08964c5eb11,0.0,0.0,0.0,,45.0,0.8
Alden Coria,11-3-0 (1 NC),11.0,3.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,0.0,0.0,0.0,,14.0,0.7857142857142857
