opponent,result,date,method
Stipe Miocic,win,"Nov. 16, 2024",KO/TKO (Spinning Back Kick)
Ciryl Gane,win,"Mar. 04, 2023",Submission (Guillotine Choke)
Dominick Reyes,win,"Feb. 08, 2020",N/A
Thiago Santos,win,"Jul. 06, 2019",N/A
Anthony Smith,win,"Mar. 02, 2019",N/A
Alexander Gustafsson,win,"Dec. 29, 2018",KO/TKO (Punches)
Daniel Cormier,nc,"Jul. 29, 2017",N/A
Ovince Saint Preux,win,"Apr. 23, 2016",N/A
Daniel Cormier,win,"Jan. 03, 2015",N/A
Glover Teixeira,win,"Apr. 26, 2014",N/A
Alexander Gustafsson,win,"Sep. 21, 2013",N/A
Chael Sonnen,win,"Apr. 27, 2013",KO/TKO (Punches)
Vitor Belfort,win,"Sep. 22, 2012",Submission (Keylock)
Rashad Evans,win,"Apr. 21, 2012",N/A
Lyoto Machida,win,"Dec. 10, 2011",Submission (Guillotine Choke)
Quinton Jackson,win,"Sep. 24, 2011",Submission (Rear Naked Choke)
Mauricio Rua,win,"Mar. 19, 2011",KO/TKO (Knee)
Ryan Bader,win,"Feb. 05, 2011",Submission (Guillotine Choke)
Vladimir Matyushenko,win,"Aug. 01, 2010",KO/TKO (Elbows)
Brandon Vera,win,"Mar. 21, 2010",KO/TKO (Elbow)
Matt Hamill,loss,"Dec. 05, 2009",DQ
Jake O'Brien,win,"Jul. 11, 2009",Submission (Guillotine Choke)
Stephan Bonnar,win,"Jan. 31, 2009",N/A
Andre Gusmao,win,"Aug. 09, 2008",N/A
